word	count
wrzucamy	578
kochasz	44
rozumiesz	63
płyta	19
rękawiczka	1
biurko	40
roślinnym	36
kapsel	76
siri	41
mineralnej	36
proszę	175
klawiatura	22
Marcin	0
lubisz	260
ryż	13
placek	6
światło	39
AGD	0
klejącą	35
głośnik	43
domestosie	36
niemiec	4
zeszyt	49
żartowałem	52
segreguje	114
elektryczne	48
problem	101
dać	0
rybka	22
szyb	10
chce	151
mówi	108
mówię	89
czujesz	40
zegar	43
toaletowa	2
fortnite	36
czerwony	76
wie	63
pieluszka	6
dzień	178
mówisz	97
zapalniczka	31
łysy	0
rozmowa	20
sprzedać	0
ołówek	33
styropianowe	74
playstation	34
wymiot	0
powiedzieć	0
jadalny	11
torebka	209
ciasto	39
lustrum	0
Roda	0
miedź	35
cześć	0
eternit	31
ściana	6
działo	0
aerozol	33
monitor	38
mikołaj	8
piesek	15
śnieg	33
szarego	41
kupić	0
huj	221
słychać	0
śmiesznego	49
paść	0
autobus	34
grzejnik	33
miś	15
starczy	42
wanna	0
Kacper	0
x	62
kobieta	12
koszulka	6
roślina	8
wieczór	40
oko	35
kebab	12
tapeta	2
elektryczny	35
ładowarka	11
wyrzuceniem	36
niebieskiego	53
polski	34
Pis	0
lalka	23
takich	62
plus	39
chemia	19
organiczne	30
numer	112
krowa	32
super	81
czas	73
plastikowy	140
marzenie	2
widelec	28
termometr	58
kokaina	24
bigos	29
ceramika	25
maciek	5
wiersz	43
mieszkanie	32
iphone'a	0
podłogowe	28
makulatura	28
wysrać	0
nożyczki	30
wyrzucę	191
utwór	27
wszechświat	27
oliwię	31
prąd	28
elektroniczne	36
pieczenie	0
żelazo	30
iphona	37
była	0
kieliszek	34
Tusk	0
pluszak	4
gwóźdź	7
McDonald	0
znaczy	175
rtęciowy	27
stąd	38
wiek	35
deska	25
stworzył	32
spadaj	68
robisz	64
bąbelkowa	27
urodziłeś	26
umyć	0
trociny	39
doniczka	34
sweter	31
zagrajmy	38
nutella	1
wersalka	4
toner	56
wacik	9
kartonowe	96
bluzka	9
gej	2
budynek	40
kurz	33
klucz	13
ceramik	0
kompost	27
kefir	9
zapałka	0
mieszkalny	25
świeczka	25
pilot	47
domestos	25
Kamil	0
prześcieradło	26
podłoga	1
pająk	9
mieszane	38
ksiądz	8
flixbus	28
gitara	4
tampona	28
kukurydza	1
wsadzić	0
mikrofon	46
zapraszam	42
odpadek	1
komplement	25
gmina	28
głos	38
mówić	0
panel	7
igła	13
dziwka	2
wędlina	10
mowa	0
medyczne	26
korek	80
planeta	2
wrzucać	0
resztka	3
Bartek	0
schowa	29
grill	4
drewniane	99
Polska	0
promieniotwórcze	26
kurtka	20
VHS	0
spray	24
słonecznikowym	23
ciastko	8
ptak	18
Błażej	0
materiał	37
cygan	0
m	42
tomka	28
Kuba	0
wosk	25
robić	0
gnój	26
skóra	13
zabawa	42
pewny	33
dziwny	32
kominek	9
cement	18
czarna	3
chemiczne	25
zakup	0
wrzuca	503
internet	25
Adam	0
kura	19
musztarda	1
Piotrek	0
noworodek	0
sznurek	27
polityk	1
brudny	271
co	0
kosmetyczne	23
mucha	24
kumpel	1
biodegradowalne	26
żywność	0
ulotka	19
mokre	99
strup	1
choroba	30
gumowe	71
zużytą	513
wrócić	0
higieniczna	22
schować	0
sąsiadka	5
kasa	6
bezrobocie	39
kurde	62
youtube	27
Dawid	0
wysikać	0
wiewiórka	12
szynka	15
biżuteria	12
prezydent	2
stanik	22
Hitler	0
pomogłeś	28
sklep	23
świetlówka	10
firanka	2
prysznic	22
klej	37
chwila	1
wiktor	12
cukier	22
prostytutka	2
kino	4
śmierć	0
denerwuje	30
różowy	85
rasowa	23
błądzi	22
cat	22
zakrętek	1
śmieszny	36
kontener	25
narzeczona	3
daj	156
inny	0
ogół	0
gazową	21
robi	129
Szymona	0
wiktoria	11
tynk	22
chemikalia	22
iphone	64
komputerową	20
samochodową	20
klasa	1
frank	2
kotek	25
okienko	2
samochodowym	20
torba	39
powiem	61
Łukasz	0
zośka	23
sierść	0
gość	0
miska	4
łonowe	21
gad	1
rodzeństwo	21
środek	0
zużyty	402
gumka	18
nerka	1
mikrofalówka	16
sraczka	4
elo	40
parasol	21
prostu	71
Zosia	0
słodycz	0
pijany	14
budowlany	26
kafelek	1
Piotr	0
portfel	25
gips	28
kartka	14
dinozaur	0
rozumiem	64
marek	13
kosmiczny	19
benzyna	0
passat	0
snikersa	19
zmieści	40
jutro	108
przyjaciółka	3
metalową	77
biologiczne	24
żółtym	46
deszcz	20
koperta	16
pomarańcz	3
tetrapak	27
wazon	22
zabicie	0
włącz	177
łeb	27
dolar	3
gadasz	38
nuklearne	18
widzisz	50
seks	24
pozbyć	0
weterynarz	9
bąk	5
lustr	0
wyrzucenia	33
amelinium	20
kuzyn	0
szambo	19
Titanic	0
ZUS	0
żyrandol	18
szafka	0
naklejka	5
płytka	2
chrupka	1
patrz	47
facet	14
aparat	27
niemiecki	5
daniel	4
frytka	0
pociąg	22
były	0
myszka	21
szczochy	18
nauczycielka	5
balon	20
warszawa	18
muzyka	12
mitologia	18
kontaktowe	19
Przemek	0
Andrzej	0
akwarium	20
grzyb	0
nazywa	68
Majta	0
spytać	0
przeklinać	0
lud	0
jebana	43
wyrzucić	0
opowiedz	856
wypierdolić	0
ostre	17
hulajnoga	1
bmw	23
wypierdalaj	46
możesz	341
Patryk	0
ość	0
iść	0
spożywczy	17
toster	17
pieczywo	21
sztuciec	0
wiadro	32
kuchenny	25
żyletka	0
robot	2
trumna	3
jednorazowe	35
xd	30
cebula	17
leda	0
konsola	1
rachunek	3
kran	17
szmata	21
włożyć	0
zezłomować	0
sernik	21
higieniczną	18
odpowiesz	24
Beata	0
pierdol	28
znajduje	62
trocha	0
polsku	22
niemiły	18
gruszka	16
jakieś	174
zamknij	183
pójdę	25
komórka	17
cytryn	1
samo	34
pizda	3
żyje	23
miasto	27
rzucić	0
id	1
kapusta	20
złoty	43
świnia	22
karmia	0
łyżka	12
suszarka	14
etykieta	4
klocek	6
śmierdzi	26
lis	8
sushi	19
bielizna	11
tekturowe	41
bola	0
oddać	0
klapek	0
narka	16
żaba	3
filiżanka	15
Dominik	0
niebieskie	27
pojebany	24
poproszę	50
wkurza	21
park	19
biały	30
odpowiada	41
lubię	70
schował	20
powiesz	43
usłyszenie	0
bułka	17
fuj	19
pogadać	0
tapczan	19
pomoże	20
ciekawostka	1
kartofel	1
zakończ	64
ciężarówka	2
przód	1
naprawdę	54
wykształcenie	16
ludzką	32
chińczyk	9
wąż	12
historia	7
baba	16
pierog	0
prezerwatywe	15
proszek	16
przyjaciel	1
motor	18
ceramiczne	16
amfetamina	15
recykling	18
posegregować	0
maszynowy	17
segregujemy	177
zdechłego	484
wojtek	8
zjeść	0
potrzebuję	29
kubeł	18
shop	18
rasista	0
Damian	0
radioaktywnymi	22
wydaje	57
sikać	0
zesrać	0
foliową	23
basen	21
chodziło	57
kierownik	2
Julek	0
dziura	7
cicho	33
powie	26
pedał	12
suchar	15
różowego	28
pewno	42
wiedział	24
klozetową	14
wspomnienie	2
mały	38
fajnie	47
słuchaj	77
mieć	0
traktor	15
gessler	15
obuwie	17
statek	32
jeans	0
Krak	0
płyn	24
kredowy	14
prezes	2
zepsute	243
Julka	0
mefedron	14
toksyczne	23
paluszek	0
pestka	6
biustonosz	14
słomka	6
piach	15
biedronka	9
sztuczne	31
lampka	13
magnes	20
pokój	24
majtek	6
picie	14
znasz	146
wujko	0
d	40
partner	1
czapka	3
czysta	5
balkon	16
śpiewać	0
tramwaj	17
Olek	0
metalowa	61
zabawny	19
kocham	24
złomiarz	1
koszula	4
Igor	0
cytryna	14
flaszka	6
miał	52
chciałbym	122
minuta	1
wyrzygać	0
odpowiedź	23
kabaret	0
browar	0
komunalne	15
kod	23
Artur	0
najlepszy	27
znaleźć	0
szary	126
sedes	13
mokry	108
segregowania	26
zaśpiewaj	82
będziesz	107
byliście	15
Magda	0
zepsuty	193
kiedyś	68
kwas	45
wykałaczka	0
kuchenne	13
PCV	0
siusiak	2
kalendarz	18
wątroba	3
lakier	59
padlina	2
fus	0
pierścionek	23
bałwan	2
żółw	6
obrazek	15
zdechł	28
Tymek	0
niemowlak	0
szczotka	20
jeść	0
asfalt	14
dzik	4
gr	16
blacha	3
e	44
organ	1
arbuz	13
fajne	35
kosmiczną	13
słucha	29
pomysł	18
gaz	21
pan	0
e-papieros	13
boxa	13
Ola	0
remont	1
pyta	94
silnik	28
gówienko	12
błąd	18
obchodzi	20
zobacz	34
zamknąć	0
bezrobotny	13
wór	4
lotto	12
kochanka	12
Eryk	0
twarz	5
atomowe	12
płukanie	0
quiz	21
okolica	1
polon	13
czarnuch	0
stało	20
kościół	18
spytaj	42
spokój	20
idę	72
domowe	14
kul	1
gołąb	3
paliwo	25
Zaniewski	0
smartfon	15
wiejskim	13
krzak	12
sól	15
oliwka	2
rzepakowy	12
radiowóz	12
jeż	3
pasek	26
spaghetti	15
rząd	12
żaroodporne	13
stop	17
fasola	1
drogowy	12
skorupka	30
Karol	0
fiat	4
Ewelina	0
bezdomny	3
Krzysio	0
atom	12
Monika	0
g	21
celofan	13
koci	93
siarkowy	12
Karolina	0
szczęka	0
zioło	14
babe	13
kalosz	1
niebo	28
Down	0
woreczek	55
elektronarzędzie	0
handlową	12
hala	1
obrus	16
rowerową	12
wzrost	1
taśma	4
sos	10
ulica	1
sejf	15
Ania	0
rok	10
szwagier	3
RTV	0
coupe	12
okienne	11
wkurwia	18
Paulina	0
włączyć	0
pióro	3
lekarz	6
plastyk	3
matma	0
siano	13
blok	23
Eiffel	0
odpowiedzieć	0
powiedziałam	30
zadzwonić	0
inaczej	22
nadzieja	1
uczyć	0
dziękujemy	21
laska	1
wcześniej	40
rasa	2
fm	22
zając	2
poznanie	0
baran	4
roślinny	12
plaster	13
flamaster	2
sałatka	2
papuga	2
poczekaj	28
Krzysiek	0
wykładzina	3
wiatrak	13
słonecznikowy	11
młotek	11
tort	15
kiwi	11
zombie	11
tuńczyk	4
kryształ	11
choinkowe	11
Dania	0
budyń	3
segregator	13
kocha	11
animatronic	11
stal	13
reklamowe	13
kocyk	13
pomarańczowym	11
burak	1
żyrafa	2
nauka	3
piekarnik	12
Rafał	0
godność	0
wierzę	16
śrubokręt	11
ciocia	15
rakieta	2
Natalia	0
zasłona	1
zbrodnia	0
Monik	0
kalkulator	12
depresja	2
Agnieszka	0
przedmiot	7
nieboszczyk	1
osoba	6
tofu	12
Rubik	0
oliwa	4
bot	1
smog	26
tetrapaki	11
śmierdzą	17
wyjście	1
daltonista	0
cena	10
jednorożec	2
mars	5
da	60
zrobił	26
sprawa	20
nazywam	12
pytałem	41
rozmawiam	26
rasowej	12
pączek	2
truchło	21
dawaj	65
rura	3
narzeczony	1
padać	0
gadam	23
źle	47
nieomylny	11
Jack	0
potłuczone	709
przyjedziesz	17
news	2
skuter	11
płaca	0
euro	15
noc	4
spotkanie	10
spryskiwacz	0
żarcik	15
zmieszanych	16
walizka	4
konto	19
umiesz	104
kto	0
powiedziałem	44
idiota	4
przeterminowane	91
wyrzucimy	62
powiedziałeś	32
wielkogabarytowe	11
wygrywa	12
zadzwoń	140
racja	4
cwel	2
kompaktowe	11
filip	1
śniadaniowy	10
Oskar	0
skup	30
śniadanie	9
mąka	8
puzzel	0
bluza	8
płot	10
znicz	0
świeca	2
smutek	11
klamka	1
Tymbark	0
duda	2
zawartość	0
soczek	0
ak47	10
radioaktywny	21
bakteria	1
dąbrowskiego	14
smażenia	10
trampek	0
Adaś	0
Klaudia	0
maślanka	0
syrop	6
Kasia	0
patyk	10
spinnera	10
wiadomo	30
cycek	0
jądrowy	10
Grzegorz	0
cerata	2
filozof	2
szczoteczka	20
Kinga	0
snickers	11
drążek	12
prawa	11
system	22
przeklinasz	10
myślisz	45
pupa	3
sofa	11
domową	12
szampan	1
śmiech	13
łódź	13
rzęsa	0
kfc	11
gruby	11
rad	3
Asia	0
budzik	16
emocja	0
wc	15
Czarnobyl	0
niegrzeczny	16
siekiera	12
audi	20
menel	10
pochodzisz	10
polak	7
czerwone	25
clio	9
inteligentny	14
pomarańczowy	15
pojęcie	0
śmierdzisz	13
koszyk	17
śmierdzące	169
niedopałek	9
kosiarka	5
tacka	22
wziąłeś	12
babka	2
kolejny	26
komunalnych	12
wysoko	12
porozmawiaj	829
wstyd	9
onetu	9
jedno	0
nudny	12
leże	0
słuch	10
soczewka	0
kolczyk	0
przełącz	42
napisał	26
idziesz	27
żonaty	12
angielsku	14
pyszne.pl	9
budowa	1
śmieciara	10
dowcipny	15
fajka	0
lut	0
pasażer	0
miło	21
wiedźmin	9
bimber	10
pierdzielę	11
głup	0
skończyłeś	10
firana	1
spoko	26
mila	9
dachówka	10
łańcuszek	9
metalowy	48
antyperspirant	10
małpa	2
karabin	28
śniadaniowe	10
Adrian	0
Janusz	0
nożną	11
termos	9
krzyż	12
winylowe	11
pianino	12
zaręczynowy	9
satelita	0
Leon	0
pottera	9
pasztet	8
groszek	4
maść	0
ścierka	1
pianka	13
ścierny	9
sałata	6
kulka	4
kochanek	0
Hubert	0
rano	21
ninjago	10
kaseta	8
kredytową	9
fortepian	9
brita	9
rudy	4
Google	0
morską	10
tekstylia	9
wideo	15
dokument	2
zakrętka	32
chwast	0
znajda	0
platyna	2
złość	0
maskotka	3
homogenizowanym	9
Wrocław	0
współlokator	1
bajka	14
pieniążek	0
kula	9
ślina	1
hulka	10
mrówka	3
trampolina	1
schód	0
atrament	10
ceramiczny	16
nic	0
